id,black_mean,black_variance,white_mean,white_variance,evidence
0,0.0,60235.272498719016,0.0,60235.272498719016,0.4521489727864191
1,104.46244643996663,45373.81418560197,-104.46244643996658,45373.81418560197,0.3148239764710562
2,0.0,60235.272498719016,0.0,60235.272498719016,0.5043609283127247
3,90.60764181026576,45830.25557458471,-90.60764181026573,45830.25557458472,0.6612263557784563
4,0.0,60235.272498719016,-90.60764181026573,35334.216638687234,0.42075227365531775
22,0.0,60235.272498719016,0.0,60235.272498719016,0.46950389533533626
23,0.0,60235.272498719016,0.0,60235.272498719016,0.5391832848555371
24,0.0,60235.272498719016,0.0,60235.272498719016,0.5391832848555371
25,0.0,40406.73147151066,0.0,60235.272498719016,0.4954054692299056
27,0.0,40406.73147151066,0.0,40318.87360596237,0.5437768194873649
28,0.0,40186.35411091027,0.0,40318.87360596237,0.49512221826306685
30,0.0,40186.35411091027,0.0,60235.272498719016,0.5412993512913271
21,0.0,40406.73147151066,0.0,60235.272498719016,0.4587259076260033
31,0.0,40406.73147151066,0.0,60235.272498719016,0.4954054692299056
32,0.0,40318.87360596237,0.0,40318.87360596237,0.5340868509998637
33,0.0,40406.73147151066,0.0,40406.73147151066,0.5437646913381373
34,0.0,40318.87360596237,0.0,40406.73147151066,0.45622318051263505
29,0.0,40318.87360596237,0.0,40186.35411091027,0.5048777817369332
20,0.0,60235.272498719016,0.0,40406.73147151066,0.4954054692299056
26,0.0,60235.272498719016,0.0,40318.87360596237,0.5412841564864066
18,0.0,60235.272498719016,0.0,40186.354110910266,0.5045973538779249
19,0.0,40406.73147151066,0.0,40406.73147151066,0.5048730165685685
5,0.0,40406.73147151066,0.0,60235.272498719016,0.4954054692299056
6,0.0,60235.272498719016,0.0,60235.272498719016,0.5304961046646637
7,0.0,40318.87360596237,0.0,60235.272498719016,0.5321337415406349
9,0.0,40406.73147151066,0.0,40318.87360596237,0.5437768194873649
10,0.0,40318.87360596237,0.0,40186.35411091027,0.5048777817369332
11,0.0,40318.87360596237,0.0,40186.354110910266,0.5438072884232609
8,0.0,40318.87360596237,0.0,40406.73147151066,0.5048743732891443
13,0.0,40186.354110910266,0.0,40406.73147151066,0.49512357802438933
14,0.0,40186.35411091027,0.0,40318.87360596237,0.5438072884232609
15,0.0,40406.73147151066,0.0,40318.87360596237,0.49512562671085575
16,0.0,40318.87360596237,0.0,40186.35411091027,0.5048777817369332
17,0.0,40318.87360596237,0.0,40406.73147151066,0.5437768194873649
12,0.0,40318.87360596237,0.0,40406.73147151066,0.53407738401855
57,0.0,60235.272498719016,0.0,60235.272498719016,0.4956390716872753
63,250.6092699535257,38708.688010336315,90.29226231585496,28296.460082336373,0.34584848884281716
58,0.0,60235.272498719016,0.0,60235.272498719016,0.4956390716872753
59,-221.1997024083496,40394.52494466468,-86.48369238823828,28841.777650388765,0.3616263178033735
60,0.0,60235.272498719016,0.0,60235.272498719016,0.5043609283127247
61,0.0,60235.272498719016,0.0,60235.272498719016,0.4956390716872753
62,0.0,60235.272498719016,0.0,60235.272498719016,0.4956390716872753
64,80.79176237624245,46344.7095979698,73.7193889375423,28002.513762508395,0.49793743645988053
72,0.0,40186.354110910266,0.0,40186.35411091027,0.4951201649810926
66,0.0,40186.354110910266,-36.09973308138136,18828.941194107258,0.532630684597624
67,-103.25875176151585,9421.532800163737,217.43994589029953,19359.032760974605,0.8310653293024878
